gene_name	cath_superfamily	pdb_id	chromosome	gene_id	genome_accessions
CARD9	1.10.533.10;	6E25;6E26;6E27;6E28;6N2M;6N2P;	9	64170	{'-': '5000:14725', 'Reference GRCh38.p14 Primary Assembly': '136363955:136373668', 'Alternate T2T-CHM13v2.0': '148593286:148603002'}
VPS33B	1.25.40.850;3.40.50.1910;3.40.50.2060;		15	26276	{'-': '4982:29187', 'Reference GRCh38.p14 Primary Assembly': '90998415:91022620', 'Alternate T2T-CHM13v2.0': '88757998:88782208'}
VPS16	1.10.150.780;	4BX9;	20	64601	{'Reference GRCh38.p14 Primary Assembly': '2840744:2866731', 'Alternate T2T-CHM13v2.0': '2871418:2897577'}
VPS11	1.25.40.10;2.130.10.10;3.30.40.10;		11	55823	{'-': '5036:19190', 'Reference GRCh38.p14 Primary Assembly': '119067817:119081971', 'Alternate T2T-CHM13v2.0': '119088175:119102361', 'Reference GRCh38.p14 PATCHES': '89416:103570'}
IL25	2.10.90.10;	7UWJ;7UWK;7UWL;	14	64806	{'Reference GRCh38.p14 Primary Assembly': '23372808:23376402', 'Alternate T2T-CHM13v2.0': '17573824:17577418'}
SH3BGRL3	3.40.30.10;	1SJ6;	1	83442	{'Reference GRCh38.p14 Primary Assembly': '26280085:26281521', 'Alternate T2T-CHM13v2.0': '26117569:26119005'}
SYT4	2.60.40.150;	1UGK;	18	6860	{'Reference GRCh38.p14 Primary Assembly': '43267891:43277489', 'Alternate T2T-CHM13v2.0': '43459664:43469260'}
SLC26A1	3.30.750.24;		4	10861	{'-': '5032:10779', 'Reference GRCh38.p14 Primary Assembly': '978990:993403', 'Alternate T2T-CHM13v2.0': '977117:991534'}
GAN	1.25.40.420;2.120.10.80;	2PPI;3HVE;	16	8139	{'-': '5000:70232', 'Reference GRCh38.p14 Primary Assembly': '81314961:81390808', 'Alternate T2T-CHM13v2.0': '87375727:87451556'}
LHX5	2.10.110.10;1.10.10.60;		12	64211	{'Reference GRCh38.p14 Primary Assembly': '113462032:113471870', 'Alternate T2T-CHM13v2.0': '113438039:113447877'}
SLC25A32	1.50.40.10;		8	81034	{'-': '5228:21697', 'Reference GRCh38.p14 Primary Assembly': '103398637:103415106', 'Alternate T2T-CHM13v2.0': '104526287:104542755'}
TRIOBP	2.30.29.30;		22	11078	{'-': '5060:84568', 'Reference GRCh38.p14 Primary Assembly': '37697047:37776555', 'Alternate T2T-CHM13v2.0': '38158315:38238087'}
SEMA6A	3.30.1680.10;2.130.10.10;	6WTS;	5	57556	{'Reference GRCh38.p14 Primary Assembly': '116443554:116574822', 'Alternate T2T-CHM13v2.0': '116956013:117086960'}
HSD3B7	3.40.50.720;		16	80270	{'-': '5009:8949', 'Reference GRCh38.p14 Primary Assembly': '30985206:30989146', 'Alternate T2T-CHM13v2.0': '31372648:31376588'}
CCDC68	1.10.287.1490;		18	80323	{'Reference GRCh38.p14 Primary Assembly': '54901508:54959460', 'Alternate T2T-CHM13v2.0': '55104590:55162629'}
SLK	1.10.510.10;	2J51;2JFL;2JFM;2UV2;4USF;6HVD;8BEM;	10	9748	{'Reference GRCh38.p14 Primary Assembly': '103967139:104029232', 'Alternate T2T-CHM13v2.0': '104854379:104916615'}
TSPYL2	1.20.5.1500;3.30.1120.90;		X	64061	{'-': '5007:11180', 'Reference GRCh38.p14 Primary Assembly': '53082366:53088539', 'Alternate T2T-CHM13v2.0': '52368602:52374775'}
PPIL3	2.40.100.10;	1XYH;2OJU;2OK3;8C6J;	2	53938	{'Reference GRCh38.p14 Primary Assembly': '200870906:200889290', 'Alternate T2T-CHM13v2.0': '201354356:201372782'}
PDCL3	3.40.30.10;	7NVM;	2	79031	{'Reference GRCh38.p14 Primary Assembly': '100562992:100576738', 'Alternate T2T-CHM13v2.0': '101021739:101035464'}
MTIF3	3.30.110.10;3.10.20.80;	6NEQ;6NF8;6RW4;6RW5;7P2E;	13	219402	{'Reference GRCh38.p14 Primary Assembly': '27435642:27450563', 'Alternate T2T-CHM13v2.0': '26656395:26671335'}
TNKS2	3.90.228.10;6.20.320.10;1.25.40.20;1.10.150.50;	2Y0I;3KR7;3KR8;3MHJ;3MHK;3P0N;3P0P;3P0Q;3TWQ;3TWR;3TWS;3TWT;3TWU;3TWV;3TWW;3TWX;3U9H;3U9Y;3UA9;3W51;4AVU;4AVW;4BFP;4BJ9;4BJB;4BJC;4BS4;4BU3;4BU5;4BU6;4BU7;4BU8;4BU9;4BUA;4BUD;4BUE;4BUF;4BUI;4BUS;4BUT;4BUU;4BUV;4BUW;4BUX;4BUY;4HKI;4HKK;4HKN;4HL5;4HLF;4HLG;4HLH;4HLK;4HLM;4HMH;4HYF;4IUE;4J1Z;4J21;4J22;4J3L;4J3M;4KZL;4KZQ;4KZU;4L09;4L0B;4L0I;4L0S;4L0T;4L0V;4L10;4L2F;4L2G;4L2K;4L31;4L32;4L33;4L34;4M7B;4PML;4PNL;4PNM;4PNN;4PNQ;4PNR;4PNS;4PNT;4TJU;4TJW;4TJY;4TK0;4TK5;4TKF;4TKG;4TKI;4UFU;4UFY;4UHG;4UI3;4UI4;4UI5;4UI6;4UI7;4UI8;4UVL;4UVN;4UVO;4UVP;4UVS;4UVT;4UVU;4UVV;4UVW;4UVX;4UVY;4UVZ;4UX4;4W5I;4Z68;5ADQ;5ADR;5ADS;5ADT;5AEH;5AKU;5AKW;5AL1;5AL2;5AL3;5AL4;5AL5;5BXO;5BXU;5C5P;5C5Q;5C5R;5DCZ;5FPF;5FPG;5JRT;5NOB;5NSP;5NUT;5OWS;5OWT;6TG4;6TKM;6TKN;6TKP;6TKQ;6TKR;6TKS;7A1S;7O6X;7POX;7R3Z;8ALY;	10	80351	{'Reference GRCh38.p14 Primary Assembly': '91798425:91865474', 'Alternate T2T-CHM13v2.0': '92681610:92748787'}
TAOK3	1.10.510.10;	6BDN;	12	51347	{'-': '5038:228144', 'Reference GRCh38.p14 Primary Assembly': '118149800:118372906', 'Alternate T2T-CHM13v2.0': '118137046:118360175'}
BHMT2	3.20.20.330;		5	23743	{'-': '5043:25345', 'Reference GRCh38.p14 Primary Assembly': '79069766:79090068', 'Alternate T2T-CHM13v2.0': '79550870:79571173'}
ADNP	3.30.160.60;1.10.10.60;		20	23394	{'-': '4999:47518', 'Reference GRCh38.p14 Primary Assembly': '50888917:50931436', 'Alternate T2T-CHM13v2.0': '52659513:52702035'}
KLK15	2.40.10.10;		19	55554	{'-': '2949:11234', 'Reference GRCh38.p14 Primary Assembly': '50825288:50833573', 'Alternate T2T-CHM13v2.0': '53914923:53923209'}
KCNN2	1.10.287.70;	5V02;5WBX;5WC5;6ALE;	5	3781	{'Reference GRCh38.p14 Primary Assembly': '114055977:114496495', 'Alternate T2T-CHM13v2.0': '114568912:115009368'}
RNF39	2.60.120.920;3.30.40.10;		6	80352	{'Reference GRCh38.p14 Primary Assembly': '30070269:30075768', 'Alternate T2T-CHM13v2.0': '29934543:29940042', 'Reference GRCh38.p14 ALT_REF_LOCI_2': '1550040:1555539', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '1328361:1333860', 'Reference GRCh38.p14 ALT_REF_LOCI_3': '1326185:1331684', 'Reference GRCh38.p14 ALT_REF_LOCI_4': '1331019:1336518', 'Reference GRCh38.p14 ALT_REF_LOCI_5': '1414359:1419858', 'Reference GRCh38.p14 ALT_REF_LOCI_6': '1325429:1330923', 'Reference GRCh38.p14 ALT_REF_LOCI_7': '1369188:1374687'}
IKZF4	3.30.160.60;	2MA7;	12	64375	{'Reference GRCh38.p14 Primary Assembly': '56007503:56038434', 'Alternate T2T-CHM13v2.0': '55974566:56005498'}
DHX36	1.20.120.1080;3.40.50.300;	2N16;2N21;6Q6R;	3	170506	{'Reference GRCh38.p14 Primary Assembly': '154272545:154324486', 'Alternate T2T-CHM13v2.0': '157046824:157098744', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '1178:9496'}
PPA2	3.90.80.10;		4	27068	{'-': '5008:109993', 'Reference GRCh38.p14 Primary Assembly': '105369076:105474069', 'Alternate T2T-CHM13v2.0': '108679985:108784940'}
ADAM7	3.40.390.10;4.10.70.10;		8	8756	{'Reference GRCh38.p14 Primary Assembly': '24441025:24509564', 'Alternate T2T-CHM13v2.0': '24716153:24784480'}
SPNS1	1.20.1250.20;		16	83985	{'Reference GRCh38.p14 Primary Assembly': '28974777:28984764', 'Alternate T2T-CHM13v2.0': '29255892:29265879'}
MIXL1	1.10.10.60;		1	83881	{'Reference GRCh38.p14 Primary Assembly': '226223663:226227059', 'Alternate T2T-CHM13v2.0': '225411531:225414927'}
CHRD	6.20.200.20;		3	8646	{'-': '4981:14756', 'Reference GRCh38.p14 Primary Assembly': '184380053:184390738', 'Alternate T2T-CHM13v2.0': '187189308:187199978'}
CLEC4M	3.10.100.10;	1K9J;1SL6;1XAR;1XPH;3JQH;	19	10332	{'-': '5094:11456', 'Reference GRCh38.p14 Primary Assembly': '7763242:7769604', 'Alternate T2T-CHM13v2.0': '7764261:7770623'}
HIPK2	1.10.510.10;	6P5S;7NCF;	7	28996	{'Reference GRCh38.p14 Primary Assembly': '139561569:139777997', 'Alternate T2T-CHM13v2.0': '140874867:141091289'}
SLC12A5	1.20.1740.10;	6M23;7D8Z;	20	57468	{'-': '12530:43465', 'Reference GRCh38.p14 Primary Assembly': '46021685:46060149', 'Alternate T2T-CHM13v2.0': '47757714:47796164'}
ZNF106	2.130.10.10;		15	64397	{'Reference GRCh38.p14 Primary Assembly': '42412822:42491140', 'Alternate T2T-CHM13v2.0': '40218870:40297182'}
PARL	1.20.1540.10;		3	55486	{'-': '4999:60608', 'Reference GRCh38.p14 Primary Assembly': '183826488:183884879', 'Alternate T2T-CHM13v2.0': '186635980:186694604'}
MMP27	3.40.390.10;2.110.10.10;		11	64066	{'Reference GRCh38.p14 Primary Assembly': '102691486:102705768', 'Alternate T2T-CHM13v2.0': '102693655:102707935'}
RHBG	1.10.3430.10;		1	57127	{'Reference GRCh38.p14 Primary Assembly': '156369210:156385218', 'Alternate T2T-CHM13v2.0': '155507821:155523824'}
ADAMTS10	2.60.120.830;3.40.1620.60;3.40.390.10;2.20.100.10;		19	81794	{'-': '4987:35462', 'Reference GRCh38.p14 Primary Assembly': '8580239:8610714', 'Alternate T2T-CHM13v2.0': '8567598:8598064'}
EPB41L4B	1.20.80.10;2.30.29.30;		9	54566	{'Reference GRCh38.p14 Primary Assembly': '109171973:109321058', 'Alternate T2T-CHM13v2.0': '121341054:121490406'}
FOXP1	1.20.5.340;1.10.10.10;	2KIU;	3	27086	{'-': '5261:634281', 'Reference GRCh38.p14 Primary Assembly': '70954707:71583977', 'Alternate T2T-CHM13v2.0': '70991207:71623252'}
PABPC3	3.30.70.330;1.10.1900.10;	2D9P;4IVE;	13	5042	{'Reference GRCh38.p14 Primary Assembly': '25096135:25099253', 'Alternate T2T-CHM13v2.0': '24304919:24308037'}
TP63	2.60.40.720;4.10.170.10;1.10.150.50;	1RG6;2NB1;2RMN;2Y9T;2Y9U;3QYM;3QYN;3US0;3US1;3US2;3ZY0;3ZY1;4A9Z;6FGN;6RU6;6RU7;6RU8;7Z71;7Z72;7Z73;7Z7E;8P9C;8P9D;8P9E;	3	8626	{'-': '39643:305530', 'Reference GRCh38.p14 Primary Assembly': '189596745:189897275', 'Alternate T2T-CHM13v2.0': '192413469:192713712'}
TRIT1	1.10.20.140;3.30.160.60;3.40.50.300;		1	54802	{'-': '5006:50400', 'Reference GRCh38.p14 Primary Assembly': '39838109:39883510', 'Alternate T2T-CHM13v2.0': '39707545:39752950'}
C11orf68	3.30.760.10;	1ZTP;2Q4K;	11	83638	{'Reference GRCh38.p14 Primary Assembly': '65916809:65919061', 'Alternate T2T-CHM13v2.0': '65909887:65912139'}
MTRFR	3.30.160.20;	7A5H;	12	91574	{'-': '5139:29663', 'Reference GRCh38.p14 Primary Assembly': '123232913:123257959', 'Alternate T2T-CHM13v2.0': '123229465:123254486'}
KCNF1	1.10.287.70;1.20.120.350;		2	3754	{'-': '4997:7288', 'Reference GRCh38.p14 Primary Assembly': '10911933:10914224', 'Alternate T2T-CHM13v2.0': '10941695:10943986'}
TXNIP	2.60.40.640;	4GEI;4GEJ;4GFX;4LL1;4LL4;4ROF;4ROJ;5CQ2;5DF6;5DWS;5DZD;	1	10628	{'Reference GRCh38.p14 Primary Assembly': '145992434:145996578', 'Alternate T2T-CHM13v2.0': '145109269:145113413'}
TMX1	3.40.30.10;	1X5E;	14	81542	{'Reference GRCh38.p14 Primary Assembly': '51240246:51257654', 'Alternate T2T-CHM13v2.0': '45446716:45464425'}
HRH4	1.20.1070.10;	7YFC;7YFD;	18	59340	{'Reference GRCh38.p14 Primary Assembly': '24460636:24479973', 'Alternate T2T-CHM13v2.0': '24654946:24674283'}
ACBD3	1.20.80.10;2.60.120.680;	2N72;2N73;5LZ1;5LZ3;5LZ6;5TDQ;6HLN;6HLT;6HLV;6HLW;6HM8;6HMV;	1	64746	{'-': '4981:47043', 'Reference GRCh38.p14 Primary Assembly': '226144678:226186740', 'Alternate T2T-CHM13v2.0': '225332549:225374625'}
GAL3ST2	3.40.50.300;		2	64090	{'-': '4997:32462', 'Reference GRCh38.p14 Primary Assembly': '241776821:241804286', 'Alternate T2T-CHM13v2.0': '242279351:242306815', 'Reference GRCh38.p14 ALT_REF_LOCI_1': '11154:16384'}
KDM4C	2.30.30.140;3.10.330.70;2.60.120.650;3.30.40.10;	2XDP;2XML;4XDO;4XDP;5FJH;5FJK;5KR7;	9	23081	{'Reference GRCh38.p14 Primary Assembly': '6720862:7175647', 'Alternate T2T-CHM13v2.0': '6715553:7172113'}
NDST4	3.40.50.300;		4	64579	{'Reference GRCh38.p14 Primary Assembly': '114827762:115113619', 'Alternate T2T-CHM13v2.0': '118130761:118416572'}
SEMA4A	3.30.1680.10;2.130.10.10;		1	64218	{'-': '8641:32800', 'Reference GRCh38.p14 Primary Assembly': '156147372:156177743', 'Alternate T2T-CHM13v2.0': '155285785:155316192'}
TMPRSS5	2.40.10.10;		11	80975	{'Reference GRCh38.p14 Primary Assembly': '113687549:113706307', 'Alternate T2T-CHM13v2.0': '113697892:113722788'}
TPK1	3.40.50.10240;2.60.120.320;	3S4Y;	7	27010	{'-': '5000:389112', 'Reference GRCh38.p14 Primary Assembly': '144451940:144836436', 'Alternate T2T-CHM13v2.0': '145632111:146017231', 'Reference GRCh38.p14 PATCHES': '501397:674069'}
PTPN23	1.20.120.560;1.20.140.50;1.25.40.280;3.90.190.10;	3RAU;5CRU;5CRV;5LM1;5LM2;5MJY;5MJZ;5MK0;5MK1;5MK2;5MK3;	3	25930	{'-': '5039:37453', 'Reference GRCh38.p14 Primary Assembly': '47381020:47413434', 'Alternate T2T-CHM13v2.0': '47397441:47429854'}
SEMA6C	3.30.1680.10;2.130.10.10;		1	10500	{'-': '5033:19957', 'Reference GRCh38.p14 Primary Assembly': '151131684:151146630', 'Alternate T2T-CHM13v2.0': '150255405:150272107'}
SEMA6B	3.30.1680.10;2.130.10.10;		19	10501	{'Reference GRCh38.p14 Primary Assembly': '4542592:4559683', 'Alternate T2T-CHM13v2.0': '4526260:4543367'}
UNC45A	1.25.10.10;1.25.40.10;	2DBA;	15	55898	{'-': '10105:28913', 'Reference GRCh38.p14 Primary Assembly': '90930179:90954092', 'Alternate T2T-CHM13v2.0': '88689762:88713675'}
MFSD1	1.20.1250.20;		3	64747	{'Reference GRCh38.p14 Primary Assembly': '158802053:158829715', 'Alternate T2T-CHM13v2.0': '161575979:161603600'}
SMOC2	3.30.60.30;1.10.238.10;4.10.800.10;		6	64094	{'-': '5033:231841', 'Reference GRCh38.p14 Primary Assembly': '168441183:168667991', 'Alternate T2T-CHM13v2.0': '169784307:170014050'}
SRMS	3.30.505.10;2.30.30.40;1.10.510.10;		20	6725	{'Reference GRCh38.p14 Primary Assembly': '63538488:63547748', 'Alternate T2T-CHM13v2.0': '65351085:65360345'}
DNAJC5	1.10.287.110;	2N04;2N05;	20	80331	{'-': '5024:45909', 'Reference GRCh38.p14 Primary Assembly': '63895125:63936010', 'Alternate T2T-CHM13v2.0': '65714972:65755859'}
HIPK3	1.10.510.10;	7O7I;7O7J;	11	10114	{'Reference GRCh38.p14 Primary Assembly': '33256671:33357022', 'Alternate T2T-CHM13v2.0': '33392108:33492539'}
KCNK15	1.10.287.70;		20	60598	{'Reference GRCh38.p14 Primary Assembly': '44745864:44752312', 'Alternate T2T-CHM13v2.0': '46481601:46488048'}
CHMP4B	6.10.250.1710;1.10.287.1060;	3C3Q;3UM3;4ABM;5MK2;	20	128866	{'-': '5044:48062', 'Reference GRCh38.p14 Primary Assembly': '33811347:33854365', 'Alternate T2T-CHM13v2.0': '35537704:35580723'}
FZD8	1.10.2000.10;1.20.1070.10;	5UN5;5UN6;6NDZ;8X0T;	10	8325	{'-': '4138:8187', 'Reference GRCh38.p14 Primary Assembly': '35638246:35642295', 'Alternate T2T-CHM13v2.0': '35668400:35672450'}
FBXL15	3.80.10.10;		10	79176	{'Reference GRCh38.p14 Primary Assembly': '102420835:102423135', 'Alternate T2T-CHM13v2.0': '103304933:103308099'}
RBKS	3.40.1190.20;	2FV7;5BYC;5BYD;5BYE;5BYF;5C3Y;5C3Z;5C40;5C41;6WJZ;6WK0;	2	64080	{'Reference GRCh38.p14 Primary Assembly': '27781378:27890386', 'Alternate T2T-CHM13v2.0': '27824532:27933506'}
FN3K	3.90.1200.10;		17	64122	{'Reference GRCh38.p14 Primary Assembly': '82735614:82751195', 'Alternate T2T-CHM13v2.0': '83610118:83625853'}
POFUT1	3.40.50.11340;3.40.50.11350;	5UX6;5UXH;	20	23509	{'-': '4987:35765', 'Reference GRCh38.p14 Primary Assembly': '32207879:32238657', 'Alternate T2T-CHM13v2.0': '33931802:33962574'}
TOR3A	3.40.50.300;		1	64222	{'Reference GRCh38.p14 Primary Assembly': '179082069:179095995', 'Alternate T2T-CHM13v2.0': '178437074:178450996'}
WNK1	1.10.510.10;	4PWN;5TF9;5WDY;5WE8;6FBK;	12	65125	{'-': '4520:163393', 'Reference GRCh38.p14 Primary Assembly': '752578:911451', 'Alternate T2T-CHM13v2.0': '748442:907207'}
GOLPH3L	1.10.3630.10;		1	55204	{'Reference GRCh38.p14 Primary Assembly': '150646229:150697153', 'Alternate T2T-CHM13v2.0': '149770311:149822031'}
GOLPH3	1.10.3630.10;	3KN1;	5	64083	{'Reference GRCh38.p14 Primary Assembly': '32124715:32174318', 'Alternate T2T-CHM13v2.0': '32238326:32287925'}
DPEP2	3.20.20.140;		16	64174	{'Reference GRCh38.p14 Primary Assembly': '67987389:68000618', 'Alternate T2T-CHM13v2.0': '73783177:73796407'}
OSGEPL1	3.30.420.40;		2	64172	{'Reference GRCh38.p14 Primary Assembly': '189746659:189763197', 'Alternate T2T-CHM13v2.0': '190235922:190252467'}
PLK3	3.30.1120.30;1.10.510.10;	4B6L;	1	1263	{'Reference GRCh38.p14 Primary Assembly': '44800376:44805989', 'Alternate T2T-CHM13v2.0': '44671530:44677143'}
SAV1	2.20.70.10;	6AO5;	14	60485	{'Reference GRCh38.p14 Primary Assembly': '50633579:50668305', 'Alternate T2T-CHM13v2.0': '44839724:44874441'}
TUBB1	1.10.287.600;3.30.1330.20;3.40.50.1440;		20	81027	{'-': '5000:12400', 'Reference GRCh38.p14 Primary Assembly': '59016437:59026653', 'Alternate T2T-CHM13v2.0': '60799450:60809766'}
CLSTN2	2.60.120.200;2.60.40.60;		3	64084	{'Reference GRCh38.p14 Primary Assembly': '139935184:140577396', 'Alternate T2T-CHM13v2.0': '142682538:143324728'}
NXF3	3.10.450.50;3.30.70.330;3.80.10.10;		X	56000	{'-': '4951:22284', 'Reference GRCh38.p14 Primary Assembly': '103075809:103093142', 'Alternate T2T-CHM13v2.0': '101520736:101538069'}
RHOJ	3.40.50.300;		14	57381	{'Reference GRCh38.p14 Primary Assembly': '63204442:63293507', 'Alternate T2T-CHM13v2.0': '57411794:57500852'}
DEF6	2.30.29.30;		6	50619	{'Reference GRCh38.p14 Primary Assembly': '35297817:35321770', 'Alternate T2T-CHM13v2.0': '35120898:35144852'}
ST6GALNAC4	3.90.1480.20;		9	27090	{'Reference GRCh38.p14 Primary Assembly': '127907885:127917040', 'Alternate T2T-CHM13v2.0': '140115657:140124815'}
SMOC1	3.30.60.30;1.10.238.10;4.10.800.10;		14	64093	{'-': '-:-', 'Reference GRCh38.p14 Primary Assembly': '69879415:70032365', 'Alternate T2T-CHM13v2.0': '64087046:64239859'}
EPB41L1	1.20.80.10;2.30.29.30;		20	2036	{'-': '68236:146295', 'Reference GRCh38.p14 Primary Assembly': '36091413:36232798', 'Alternate T2T-CHM13v2.0': '37812398:37953497'}
GLIPR2	3.40.33.10;	1SMB;4AIW;5VHG;	9	152007	{'Reference GRCh38.p14 Primary Assembly': '36136535:36163912', 'Alternate T2T-CHM13v2.0': '36158539:36185918'}
FAM83D	3.30.870.10;	5E0L;5E0M;	20	81610	{'Reference GRCh38.p14 Primary Assembly': '38926416:38953105', 'Alternate T2T-CHM13v2.0': '40656468:40683157'}
ZHX3	3.30.160.60;1.10.10.60;	2DA5;2DN0;	20	23051	{'-': '4887:144163', 'Reference GRCh38.p14 Primary Assembly': '41178454:41317730', 'Alternate T2T-CHM13v2.0': '42910140:43049530'}
MTG2	2.70.210.12;3.40.50.300;	7O9K;7ODT;7OF5;7OF7;	20	26164	{'Reference GRCh38.p14 Primary Assembly': '62183027:62203567', 'Alternate T2T-CHM13v2.0': '63973903:63994442'}
OSBPL3	2.40.160.120;3.30.70.3490;2.30.29.30;	7CYZ;7DEI;7DEJ;	7	26031	{'Reference GRCh38.p14 Primary Assembly': '24796536:24981844', 'Alternate T2T-CHM13v2.0': '24934544:25120218'}
SMARCAD1	3.40.50.300;3.40.50.10810;	6H3A;6QU1;7Z36;	4	56916	{'-': '5257:88684', 'Reference GRCh38.p14 Primary Assembly': '94207607:94291291', 'Alternate T2T-CHM13v2.0': '97523079:97606798'}
FBXO44	1.20.1280.50;2.60.120.260;	3WSO;5B4N;	1	93611	{'Reference GRCh38.p14 Primary Assembly': '11654406:11663326', 'Alternate T2T-CHM13v2.0': '11198458:11207381'}
PLEKHA4	2.30.29.30;	1UPQ;1UPR;	19	57664	{'-': '5010:36530', 'Reference GRCh38.p14 Primary Assembly': '48837096:48868616', 'Alternate T2T-CHM13v2.0': '51831975:51863477'}
EHD1	1.10.268.20;1.10.238.10;3.40.50.300;	2JQ6;2KFF;2KFG;2KFH;2KSP;	11	10938	{'Reference GRCh38.p14 Primary Assembly': '64851641:64879692', 'Alternate T2T-CHM13v2.0': '64844973:64872934'}
RNF41	3.30.40.10;	2FZP;2GWF;	12	10193	{'Reference GRCh38.p14 Primary Assembly': '56202178:56221968', 'Alternate T2T-CHM13v2.0': '56169788:56189588'}
PRDM13	3.30.160.60;2.170.270.10;		6	59336	{'Reference GRCh38.p14 Primary Assembly': '99606832:99615561', 'Alternate T2T-CHM13v2.0': '100780285:100789016'}
PRDM12	3.30.160.60;2.170.270.10;	3EP0;	9	59335	{'-': '5000:23389', 'Reference GRCh38.p14 Primary Assembly': '130664593:130682982', 'Alternate T2T-CHM13v2.0': '142869555:142887936'}
GSX1	1.10.10.60;		13	219409	{'Reference GRCh38.p14 Primary Assembly': '27792482:27794767', 'Alternate T2T-CHM13v2.0': '27013593:27015878'}
ZSCAN16	3.30.160.60;1.10.4020.10;	2COT;	6	80345	{'Reference GRCh38.p14 Primary Assembly': '28124608:28130081', 'Alternate T2T-CHM13v2.0': '27994628:28000106'}
EBF3	1.10.287.4280;2.60.40.10;2.60.40.3180;	3MUJ;3N50;	10	253738	{'-': '4553:133594', 'Reference GRCh38.p14 Primary Assembly': '129835232:129964273', 'Alternate T2T-CHM13v2.0': '130762551:130891465'}
GSTO2	1.20.1050.10;3.40.30.10;	3Q18;3Q19;3QAG;	10	119391	{'-': '5001:40767', 'Reference GRCh38.p14 Primary Assembly': '104269183:104304949', 'Alternate T2T-CHM13v2.0': '105157319:105193112'}
ZNF335	3.30.160.60;		20	63925	{'-': '4991:28534', 'Reference GRCh38.p14 Primary Assembly': '45948659:45972202', 'Alternate T2T-CHM13v2.0': '47684712:47708264'}
PCIF1	1.20.1270.10;2.20.70.10;	2JX8;6IRV;6IRW;	20	63935	{'Reference GRCh38.p14 Primary Assembly': '45934682:45948019', 'Alternate T2T-CHM13v2.0': '47670739:47684072'}
BANF2	1.10.150.40;		20	140836	{'Reference GRCh38.p14 Primary Assembly': '17693671:17735870', 'Alternate T2T-CHM13v2.0': '17744825:17787012'}
ALG2	3.40.50.2000;		9	85365	{'-': '5022:10539', 'Reference GRCh38.p14 Primary Assembly': '99216424:99221941', 'Alternate T2T-CHM13v2.0': '111388128:111393645'}
ZNF644	3.30.160.60;		1	84146	{'-': '5220:111951', 'Reference GRCh38.p14 Primary Assembly': '90915303:91022034', 'Alternate T2T-CHM13v2.0': '90759863:90867340'}
HEATR1	1.25.10.10;	7MQ8;7MQ9;7MQA;	1	55127	{'Reference GRCh38.p14 Primary Assembly': '236549004:236604515', 'Alternate T2T-CHM13v2.0': '235949958:236005475'}
DUSP21	3.90.190.10;		X	63904	{'-': '5018:5885', 'Reference GRCh38.p14 Primary Assembly': '44844020:44844887', 'Alternate T2T-CHM13v2.0': '44250839:44251706'}
ZNF768	3.30.160.60;		16	79724	{'Reference GRCh38.p14 Primary Assembly': '30524003:30532476', 'Alternate T2T-CHM13v2.0': '30910972:30919445'}
SUV39H2	2.40.50.40;2.170.270.10;	2R3A;6P0R;	10	79723	{'Reference GRCh38.p14 Primary Assembly': '14878865:14904314', 'Alternate T2T-CHM13v2.0': '14892830:14918278'}
POMK	1.10.510.10;		8	84197	{'-': '5009:34928', 'Reference GRCh38.p14 Primary Assembly': '43093514:43123433', 'Alternate T2T-CHM13v2.0': '43362446:43392366'}
RABEP2	1.20.5.340;1.20.5.730;		16	79874	{'Reference GRCh38.p14 Primary Assembly': '28904420:28925237', 'Alternate T2T-CHM13v2.0': '29184914:29206346'}
PDZD7	1.20.1160.20;2.30.42.10;	2EEH;7PC5;	10	79955	{'-': '5028:28478', 'Reference GRCh38.p14 Primary Assembly': '101007678:101031128', 'Alternate T2T-CHM13v2.0': '101891053:101914543'}
TFB2M	3.40.50.150;	6ERO;6ERP;6ERQ;	1	64216	{'Reference GRCh38.p14 Primary Assembly': '246540560:246566260', 'Alternate T2T-CHM13v2.0': '245961431:245987150'}
IKZF5	3.30.160.60;		10	64376	{'-': '5000:22988', 'Reference GRCh38.p14 Primary Assembly': '122990805:123008794', 'Alternate T2T-CHM13v2.0': '123865800:123883912'}
CIAO2A	6.10.250.1280;3.30.300.130;	2M5H;3UX2;3UX3;	15	84191	{'Reference GRCh38.p14 Primary Assembly': '64072564:64093837', 'Alternate T2T-CHM13v2.0': '61879722:61900990'}
SLITRK6	3.80.10.10;		13	84189	{'-': '12264:18893', 'Reference GRCh38.p14 Primary Assembly': '85792789:85799418', 'Alternate T2T-CHM13v2.0': '85041233:85047861'}
DHX35	1.20.120.1080;3.40.50.300;		20	60625	{'Reference GRCh38.p14 Primary Assembly': '38962343:39039720', 'Alternate T2T-CHM13v2.0': '40692392:40769758'}
PIF1	3.40.50.300;	5FHH;6HPH;6HPQ;6HPT;6HPU;	15	80119	{'Reference GRCh38.p14 Primary Assembly': '64815631:64827061', 'Alternate T2T-CHM13v2.0': '62624915:62636351'}
