Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene3D	PDB
Q9BRL7	reviewed	SC22C_HUMAN	Vesicle-trafficking protein SEC22c (SEC22 vesicle-trafficking protein homolog C) (SEC22 vesicle-trafficking protein-like 3)	SEC22C SEC22L3 UNQ459/PRO784	Homo sapiens (Human)	303	3.30.450.50;	
Q9BRP0	reviewed	OVOL2_HUMAN	Transcription factor Ovo-like 2 (hOvo2) (Zinc finger protein 339)	OVOL2 ZNF339	Homo sapiens (Human)	275	3.30.160.60;	
Q9BRQ0	reviewed	PYGO2_HUMAN	Pygopus homolog 2	PYGO2 PP7910	Homo sapiens (Human)	406	3.30.40.10;	2XB1;4UP0;4UP5;8HIB;
Q9BRQ8	reviewed	FSP1_HUMAN	Ferroptosis suppressor protein 1 (FSP1) (EC 1.6.5.-) (Apoptosis-inducing factor homologous mitochondrion-associated inducer of death) (AMID) (p53-responsive gene 3 protein)	AIFM2 AMID PRG3	Homo sapiens (Human)	373	3.50.50.100;	
Q9BRR0	reviewed	ZKSC3_HUMAN	Zinc finger protein with KRAB and SCAN domains 3 (Zinc finger and SCAN domain-containing protein 13) (Zinc finger protein 306) (Zinc finger protein 309) (Zinc finger protein 47 homolog) (Zf47) (Zfp-47)	ZKSCAN3 ZFP47 ZNF306 ZNF309 ZSCAN13	Homo sapiens (Human)	538	6.10.140.140;3.30.160.60;1.10.4020.10;	
Q9BRR6	reviewed	ADPGK_HUMAN	ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147) (RbBP-35)	ADPGK PSEC0260	Homo sapiens (Human)	497	3.40.1190.20;	
Q9BRR9	reviewed	RHG09_HUMAN	Rho GTPase-activating protein 9 (Rho-type GTPase-activating protein 9)	ARHGAP9	Homo sapiens (Human)	750	2.20.70.10;2.30.29.30;1.10.555.10;2.30.30.40;	2P0D;2P0F;2P0H;
Q9BRS2	reviewed	RIOK1_HUMAN	Serine/threonine-protein kinase RIO1 (EC 2.7.11.1) (EC 3.6.3.-) (RIO kinase 1)	RIOK1 RIO1	Homo sapiens (Human)	568	1.10.510.10;	4OTP;6G5I;6V0N;6ZV6;6ZXD;6ZXE;6ZXF;6ZXG;6ZXH;7BOC;
Q9BRS8	reviewed	LARP6_HUMAN	La-related protein 6 (Acheron) (Achn) (La ribonucleoprotein domain family member 6)	LARP6	Homo sapiens (Human)	491	3.30.70.330;1.10.10.10;	2MTF;2MTG;
Q9BRT3	reviewed	MIEN1_HUMAN	Migration and invasion enhancer 1 (HBV X-transactivated gene 4 protein) (HBV XAg-transactivated protein 4) (Protein C35)	MIEN1 C17orf37 RDX12 XTP4	Homo sapiens (Human)	115	3.40.30.10;	2LJK;
Q9BRT8	reviewed	ZNG1A_HUMAN	Zinc-regulated GTPase metalloprotein activator 1A (EC 3.6.5.-) (Cobalamin synthase W domain-containing protein 1) (COBW domain-containing protein 1) (NPC-A-6 COBW domain-containing protein 1) (NPC-A-6)	ZNG1A CBWD1	Homo sapiens (Human)	395	3.30.1220.10;3.40.50.300;	
Q9BRT9	reviewed	SLD5_HUMAN	DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]	GINS4 SLD5	Homo sapiens (Human)	223	1.20.58.1030;3.40.5.60;	2E9X;2EHO;2Q9Q;6XTX;6XTY;7PFO;7PLO;8B9D;
Q9BRU9	reviewed	UTP23_HUMAN	rRNA-processing protein UTP23 homolog	UTP23 C8orf53	Homo sapiens (Human)	249	3.40.50.1010;	
Q9BRV3	reviewed	SWET1_HUMAN	Sugar transporter SWEET1 (HsSWEET1) (RAG1-activating protein 1) (Solute carrier family 50 member 1) (Stromal cell protein)	SLC50A1 RAG1AP1 SCP	Homo sapiens (Human)	221	1.20.1280.290;	
Q9BRX2	reviewed	PELO_HUMAN	Protein pelota homolog (hPelota) (Protein Dom34 homolog)	PELO CGI-17	Homo sapiens (Human)	385	3.30.1330.30;3.30.420.60;2.30.30.870;	1X52;5EO3;5LZW;5LZX;5LZY;5LZZ;
Q9BRX5	reviewed	PSF3_HUMAN	DNA replication complex GINS protein PSF3 (GINS complex subunit 3)	GINS3 PSF3	Homo sapiens (Human)	216	1.20.58.2050;	2E9X;2EHO;2Q9Q;6XTX;6XTY;7PFO;7PLO;8B9D;
Q9BRX9	reviewed	WDR83_HUMAN	WD repeat domain-containing protein 83 (Mitogen-activated protein kinase organizer 1) (MAPK organizer 1)	WDR83 MORG1	Homo sapiens (Human)	315	2.130.10.10;	
Q9BRZ2	reviewed	TRI56_HUMAN	E3 ubiquitin-protein ligase TRIM56 (EC 2.3.2.27) (RING finger protein 109) (Tripartite motif-containing protein 56)	TRIM56 RNF109	Homo sapiens (Human)	755	3.30.160.60;2.120.10.30;3.30.40.10;	5JW7;
Q9BS26	reviewed	ERP44_HUMAN	Endoplasmic reticulum resident protein 44 (ER protein 44) (ERp44) (Thioredoxin domain-containing protein 4)	ERP44 KIAA0573 TXNDC4 UNQ532/PRO1075	Homo sapiens (Human)	406	3.40.30.10;	2R2J;5GU6;5GU7;5HQP;5XWM;
Q9BS34	reviewed	ZN670_HUMAN	Zinc finger protein 670	ZNF670	Homo sapiens (Human)	389	6.10.140.140;3.30.160.60;	
Q9BS40	reviewed	LXN_HUMAN	Latexin (Endogenous carboxypeptidase inhibitor) (ECI) (Protein MUM) (Tissue carboxypeptidase inhibitor) (TCI)	LXN	Homo sapiens (Human)	222	3.10.450.10;	2BO9;
Q9BS86	reviewed	ZPBP1_HUMAN	Zona pellucida-binding protein 1 (Inner acrosomal membrane IAM38) (Sp38)	ZPBP ZPBP1	Homo sapiens (Human)	351	2.60.40.10;	
Q9BSD7	reviewed	NTPCR_HUMAN	Cancer-related nucleoside-triphosphatase (NTPase) (EC 3.6.1.15) (Nucleoside triphosphate phosphohydrolase)	NTPCR C1orf57	Homo sapiens (Human)	190	3.40.50.300;	2I3B;
Q9BSE5	reviewed	GDAH_HUMAN	Guanidino acid hydrolase, mitochondrial (EC 3.5.3.-) (Arginase, mitochondrial) (EC 3.5.3.1) (Guanidinobutyrase, mitochondrial) (EC 3.5.3.7) (Guanidinopropionase, mitochondrial) (EC 3.5.3.17)	AGMAT GDAH	Homo sapiens (Human)	352	3.40.800.10;	
Q9BSG1	reviewed	ZNF2_HUMAN	Zinc finger protein 2 (Zinc finger protein 2.2) (Zinc finger protein 661)	ZNF2 ZNF661	Homo sapiens (Human)	425	6.10.140.140;3.30.160.60;	
Q9BSH4	reviewed	TACO1_HUMAN	Translational activator of cytochrome c oxidase 1 (Coiled-coil domain-containing protein 44) (Translational activator of mitochondrially-encoded cytochrome c oxidase I)	TACO1 CCDC44 PRO0477	Homo sapiens (Human)	297	1.10.10.200;3.30.70.980;	
Q9BSJ2	reviewed	GCP2_HUMAN	Gamma-tubulin complex component 2 (GCP-2) (hGCP2) (Gamma-ring complex protein 103 kDa) (h103p) (hGrip103) (Spindle pole body protein Spc97 homolog) (hSpc97)	TUBGCP2 GCP2	Homo sapiens (Human)	902	1.20.120.1900;	6V6B;6V6S;6X0V;7AS4;7QJ0;7QJ1;7QJ2;7QJ3;7QJ4;7QJ5;7QJ6;7QJ7;7QJ8;7QJ9;7QJA;7QJB;7QJC;7QJD;
Q9BSJ8	reviewed	ESYT1_HUMAN	Extended synaptotagmin-1 (E-Syt1) (Membrane-bound C2 domain-containing protein)	ESYT1 FAM62A KIAA0747 MBC2	Homo sapiens (Human)	1104	2.60.40.150;	
Q9BSK2	reviewed	S2533_HUMAN	Solute carrier family 25 member 33 (Bone marrow stromal cell mitochondrial carrier protein) (BMSC-MCP) (HuBMSC-MCP) (Protein PNC1)	SLC25A33	Homo sapiens (Human)	321	1.50.40.10;	
Q9BSK4	reviewed	FEM1A_HUMAN	Protein fem-1 homolog A (FEM1a) (FEM1-alpha) (Prostaglandin E receptor 4-associated protein)	FEM1A EPRAP	Homo sapiens (Human)	669	1.25.40.20;1.25.40.10;	
Q9BSL1	reviewed	UBAC1_HUMAN	Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2)	UBAC1 GBDR1 KPC2 UBADC1	Homo sapiens (Human)	405	1.10.260.100;1.10.8.10;	2DAI;
Q9BSM1	reviewed	PCGF1_HUMAN	Polycomb group RING finger protein 1 (Nervous system Polycomb-1) (NSPc1) (RING finger protein 68)	PCGF1 NSPC1 RNF68	Homo sapiens (Human)	259	3.30.40.10;	4HPL;4HPM;5JH5;8HCU;
Q9BSQ5	reviewed	CCM2_HUMAN	Cerebral cavernous malformations 2 protein (Malcavernin)	CCM2 C7orf22 PP10187	Homo sapiens (Human)	444	1.20.1160.20;2.30.29.30;	4FQN;4TVQ;4WJ7;4Y5O;4YKC;4YKD;4YL6;
Q9BST9	reviewed	RTKN_HUMAN	Rhotekin	RTKN RTKN1	Homo sapiens (Human)	563	2.30.29.30;	
Q9BSU3	reviewed	NAA11_HUMAN	N-alpha-acetyltransferase 11 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog B) (hARD2) (NatA catalytic subunit Naa11)	NAA11 ARD1B ARD2	Homo sapiens (Human)	229	3.40.630.30;	
Q9BSV6	reviewed	SEN34_HUMAN	tRNA-splicing endonuclease subunit Sen34 (EC 4.6.1.16) (Leukocyte receptor cluster member 5) (tRNA-intron endonuclease Sen34) (HsSen34)	TSEN34 LENG5 SEN34	Homo sapiens (Human)	310	3.40.1350.10;	6Z9U;7UXA;7ZRZ;8HMY;8HMZ;8ISS;
Q9BSW2	reviewed	EFC4B_HUMAN	EF-hand calcium-binding domain-containing protein 4B (Calcium release-activated calcium channel regulator 2A) (CRAC channel regulator 2A) (Calcium release-activated channel regulator 2A) (Ras-related protein Rab-46)	CRACR2A EFCAB4B RAB46	Homo sapiens (Human)	731	1.10.238.10;3.40.50.300;	6PSD;
Q9BSW7	reviewed	SYT17_HUMAN	Synaptotagmin-17 (Protein B/K) (Synaptotagmin XVII) (SytXVII)	SYT17	Homo sapiens (Human)	474	2.60.40.150;	2ENP;
Q9BSY9	reviewed	DESI2_HUMAN	Deubiquitinase DESI2 (EC 3.4.19.12) (Desumoylating isopeptidase 2) (DeSI-2) (PPPDE peptidase domain-containing protein 1) (Palmitoyl protein thioesterase DESI2) (EC 3.1.2.22) (Protein FAM152A) (S-depalmitoylase DESI2)	DESI2 C1orf121 FAM152A PPPDE1 CGI-146 PNAS-4	Homo sapiens (Human)	194	3.90.1720.30;	
Q9BT17	reviewed	MTG1_HUMAN	Mitochondrial ribosome-associated GTPase 1 (GTP-binding protein 7) (Mitochondrial GTPase 1)	MTG1 GTPBP7	Homo sapiens (Human)	334	1.10.1580.10;3.40.50.300;	7O9K;7O9M;7PD3;
Q9BT22	reviewed	ALG1_HUMAN	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870	Homo sapiens (Human)	464	3.40.50.2000;	
Q9BT23	reviewed	LIMD2_HUMAN	LIM domain-containing protein 2	LIMD2 SB143	Homo sapiens (Human)	127	2.10.110.10;	2LZU;
Q9BT30	reviewed	ALKB7_HUMAN	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11)	ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564	Homo sapiens (Human)	221	2.60.120.590;	4QKB;4QKD;4QKF;
Q9BT40	reviewed	INP5K_HUMAN	Inositol polyphosphate 5-phosphatase K (EC 3.1.3.56) (Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase) (EC 3.1.3.86) (Phosphatidylinositol-4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (Skeletal muscle and kidney-enriched inositol phosphatase)	INPP5K PPS SKIP	Homo sapiens (Human)	448	2.60.40.2840;3.60.10.10;	
Q9BT78	reviewed	CSN4_HUMAN	COP9 signalosome complex subunit 4 (SGN4) (Signalosome subunit 4) (JAB1-containing signalosome subunit 4)	COPS4 CSN4	Homo sapiens (Human)	406	1.10.10.10;	4D0P;4D10;4D18;4WSN;6R6H;6R7F;6R7H;6R7I;6R7N;8H38;8H3A;8H3F;
Q9BT81	reviewed	SOX7_HUMAN	Transcription factor SOX-7	SOX7	Homo sapiens (Human)	388	1.10.30.10;	
Q9BT88	reviewed	SYT11_HUMAN	Synaptotagmin-11 (Synaptotagmin XI) (SytXI)	SYT11 KIAA0080	Homo sapiens (Human)	431	2.60.40.150;	
Q9BTA9	reviewed	WAC_HUMAN	WW domain-containing adapter protein with coiled-coil	WAC KIAA1844	Homo sapiens (Human)	647	2.20.70.10;	
Q9BTC0	reviewed	DIDO1_HUMAN	Death-inducer obliterator 1 (DIO-1) (hDido1) (Death-associated transcription factor 1) (DATF-1)	DIDO1 C20orf158 DATF1 KIAA0333	Homo sapiens (Human)	2240	1.10.472.30;3.30.40.10;	2M3H;4L7X;
Q9BTC8	reviewed	MTA3_HUMAN	Metastasis-associated protein MTA3	MTA3 KIAA1266	Homo sapiens (Human)	594	2.30.30.490;4.10.1240.50;1.10.10.60;	
Q9BTD8	reviewed	RBM42_HUMAN	RNA-binding protein 42 (RNA-binding motif protein 42)	RBM42	Homo sapiens (Human)	480	3.30.70.330;	6QW6;6QX9;
Q9BTE1	reviewed	DCTN5_HUMAN	Dynactin subunit 5 (Dynactin subunit p25)	DCTN5	Homo sapiens (Human)	182	2.160.10.10;	5NW4;
Q9BTE6	reviewed	AASD1_HUMAN	Alanyl-tRNA editing protein Aarsd1 (Alanyl-tRNA synthetase domain-containing protein 1)	AARSD1	Homo sapiens (Human)	412	2.40.30.130;	
Q9BTE7	reviewed	DCNL5_HUMAN	DCN1-like protein 5 (DCNL5) (DCUN1 domain-containing protein 5) (Defective in cullin neddylation protein 1-like protein 5) (Squamous cell carcinoma-related oncogene 5)	DCUN1D5 SCCRO5	Homo sapiens (Human)	237	1.10.238.200;1.10.238.10;	
Q9BTM9	reviewed	URM1_HUMAN	Ubiquitin-related modifier 1	URM1 C9orf74	Homo sapiens (Human)	101	3.10.20.30;	
Q9BTN0	reviewed	LRFN3_HUMAN	Leucine-rich repeat and fibronectin type-III domain-containing protein 3 (Synaptic adhesion-like molecule 4)	LRFN3 SALM4 UNQ5865/PRO34192	Homo sapiens (Human)	628	2.60.40.10;3.80.10.10;	
Q9BTP7	reviewed	FAP24_HUMAN	Fanconi anemia core complex-associated protein 24 (Fanconi anemia-associated protein of 24 kDa)	FAAP24 C19orf40	Homo sapiens (Human)	215	3.40.50.10130;1.10.150.20;	2LYH;2M9M;2M9N;4BXO;4M6W;
Q9BTT0	reviewed	AN32E_HUMAN	Acidic leucine-rich nuclear phosphoprotein 32 family member E (LANP-like protein) (LANP-L)	ANP32E	Homo sapiens (Human)	268	3.80.10.10;	4CAY;4NFT;
Q9BTV5	reviewed	FSD1_HUMAN	Fibronectin type III and SPRY domain-containing protein 1 (MID1-related protein 1) (Microtubule-associated protein GLFND)	FSD1 GLFND MIR1 VLP27	Homo sapiens (Human)	496	1.20.5.170;2.60.120.920;2.60.40.10;	
Q9BTW9	reviewed	TBCD_HUMAN	Tubulin-specific chaperone D (Beta-tubulin cofactor D) (tfcD) (SSD-1) (Tubulin-folding cofactor D)	TBCD KIAA0988 SSD1 TFCD PP1096	Homo sapiens (Human)	1192	1.25.10.10;	
Q9BTY2	reviewed	FUCO2_HUMAN	Plasma alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase 2) (Alpha-L-fucosidase 2)	FUCA2 PSEC0151 UNQ227/PRO260	Homo sapiens (Human)	467	3.20.20.80;2.60.40.1180;	
Q9BTZ2	reviewed	DHRS4_HUMAN	Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NRDR) (humNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (SCAD-SRL) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2) (Short-chain dehydrogenase/reductase family member 4)	DHRS4 SDR25C2 UNQ851/PRO1800	Homo sapiens (Human)	278	3.40.50.720;	3O4R;
Q9BU02	reviewed	THTPA_HUMAN	Thiamine-triphosphatase (ThTPase) (EC 3.6.1.28)	THTPA	Homo sapiens (Human)	230	2.40.320.10;	3BHD;3TVL;
Q9BU19	reviewed	ZN692_HUMAN	Zinc finger protein 692 (AICAR responsive element binding protein)	ZNF692 AREBP ZFP692	Homo sapiens (Human)	519	3.30.160.60;	2D9H;2DLK;6H0G;
Q9BU20	reviewed	CPLN2_HUMAN	Ciliogenesis and planar polarity effector 2 (REM2- and Rab-like small GTPase 1)	CPLANE2 C1orf89 RSG1	Homo sapiens (Human)	258	3.40.50.300;	
Q9BU40	reviewed	CRDL1_HUMAN	Chordin-like protein 1 (Neuralin-1) (Neurogenesin-1) (Ventroptin)	CHRDL1 NRLN1	Homo sapiens (Human)	456	6.20.200.20;2.10.70.10;	
Q9BU61	reviewed	NDUF3_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	NDUFAF3 C3orf60	Homo sapiens (Human)	184	3.40.1230.10;	
Q9BU89	reviewed	DOHH_HUMAN	Deoxyhypusine hydroxylase (hDOHH) (EC 1.14.99.29) (Deoxyhypusine dioxygenase) (Deoxyhypusine monooxygenase) (HEAT-like repeat-containing protein 1)	DOHH HLRC1	Homo sapiens (Human)	302	1.25.10.10;	4D4Z;4D50;
Q9BUB5	reviewed	MKNK1_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	MKNK1 MNK1	Homo sapiens (Human)	465	1.10.510.10;	2HW6;2Y9Q;5WVD;
Q9BUD6	reviewed	SPON2_HUMAN	Spondin-2 (Differentially expressed in cancerous and non-cancerous lung cells 1) (DIL-1) (Mindin)	SPON2 DIL1 UNQ435/PRO866	Homo sapiens (Human)	331	2.60.40.2130;2.20.100.10;	3D34;
Q9BUE0	reviewed	MED18_HUMAN	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (p28b)	MED18	Homo sapiens (Human)	208	2.40.320.10;	7EMF;7ENA;7ENC;7ENJ;7LBM;7NVR;8GXQ;8GXS;
Q9BUE6	reviewed	ISCA1_HUMAN	Iron-sulfur cluster assembly 1 homolog, mitochondrial (HESB-like domain-containing protein 2) (Iron-sulfur assembly protein IscA) (hIscA)	ISCA1 HBLD2 GK004	Homo sapiens (Human)	129	2.60.300.12;	
Q9BUF5	reviewed	TBB6_HUMAN	Tubulin beta-6 chain (Tubulin beta class V)	TUBB6	Homo sapiens (Human)	446	1.10.287.600;3.30.1330.20;3.40.50.1440;	
Q9BUI4	reviewed	RPC3_HUMAN	DNA-directed RNA polymerase III subunit RPC3 (RNA polymerase III subunit C3) (DNA-directed RNA polymerase III subunit C) (RNA polymerase III 62 kDa subunit) (RPC62)	POLR3C	Homo sapiens (Human)	534	6.10.140.1450;1.10.10.10;	2XUB;2XV4;5AFQ;7A6H;7AE1;7AE3;7AEA;7AST;7D58;7D59;7DN3;7DU2;7FJI;7FJJ;8ITY;8IUE;8IUH;
Q9BUJ2	reviewed	HNRL1_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 1 (Adenovirus early region 1B-associated protein 5) (E1B-55 kDa-associated protein 5) (E1B-AP5)	HNRNPUL1 E1BAP5 HNRPUL1	Homo sapiens (Human)	856	2.60.120.920;3.40.50.300;1.10.720.30;	
Q9BUK6	reviewed	MSTO1_HUMAN	Protein misato homolog 1	MSTO1 LST005 SLTP005	Homo sapiens (Human)	570	3.40.50.1440;	
Q9BUL5	reviewed	PHF23_HUMAN	PHD finger protein 23 (PDH-containing protein JUNE-1)	PHF23	Homo sapiens (Human)	403	3.30.40.10;	6WXK;
Q9BUL8	reviewed	PDC10_HUMAN	Programmed cell death protein 10 (Cerebral cavernous malformations 3 protein) (TF-1 cell apoptosis-related protein 15)	PDCD10 CCM3 TFAR15	Homo sapiens (Human)	212	1.10.12.70;1.20.120.330;	3AJM;3L8I;3L8J;3RQE;3RQF;3RQG;3W8H;3W8I;4GEH;4TVQ;
Q9BUL9	reviewed	RPP25_HUMAN	Ribonuclease P protein subunit p25 (RNase P protein subunit p25)	RPP25	Homo sapiens (Human)	199	3.30.110.20;	6AHR;6AHU;6CWX;6LT7;
Q9BUM1	reviewed	G6PC3_HUMAN	Glucose-6-phosphatase 3 (G-6-Pase 3) (G6Pase 3) (EC 3.1.3.9) (Glucose-6-phosphatase beta) (G6Pase-beta) (Ubiquitous glucose-6-phosphatase catalytic subunit-related protein)	G6PC3 UGRP	Homo sapiens (Human)	346	1.20.144.10;	
Q9BUP0	reviewed	EFHD1_HUMAN	EF-hand domain-containing protein D1 (EF-hand domain-containing protein 1) (Swiprosin-2)	EFHD1 SWS2 PP3051	Homo sapiens (Human)	239	1.10.238.10;	
Q9BUP3	reviewed	HTAI2_HUMAN	Oxidoreductase HTATIP2 (EC 1.1.1.-) (30 kDa HIV-1 TAT-interacting protein) (HIV-1 TAT-interactive protein 2)	HTATIP2 CC3 TIP30	Homo sapiens (Human)	242	3.40.50.720;	2BKA;
Q9BUQ8	reviewed	DDX23_HUMAN	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	DDX23	Homo sapiens (Human)	820	3.40.50.300;	3JCR;4NHO;6AH0;6QW6;6QX9;
Q9BUR4	reviewed	TCAB1_HUMAN	Telomerase Cajal body protein 1 (WD repeat-containing protein 79) (WD40 repeat-containing protein antisense to TP53 gene) (WRAP53beta)	WRAP53 TCAB1 WDR79	Homo sapiens (Human)	548	2.130.10.10;	7BGB;7TRC;7V9A;
Q9BUT1	reviewed	DHRS6_HUMAN	Dehydrogenase/reductase SDR family member 6 (EC 1.1.1.-) ((R)-beta-hydroxybutyrate dehydrogenase) (3-hydroxybutyrate dehydrogenase type 2) (EC 1.1.1.30) (4-oxo-L-proline reductase) (EC 1.1.1.104) (Oxidoreductase UCPA) (Short chain dehydrogenase/reductase family 15C member 1)	BDH2 DHRS6 SDR15C1 UNQ6308/PRO20933	Homo sapiens (Human)	245	3.40.50.720;	2AG5;
Q9BUU2	reviewed	MET22_HUMAN	Methyltransferase-like protein 22 (EC 2.1.1.-)	METTL22 C16orf68 LP8272	Homo sapiens (Human)	404	3.40.50.150;	
Q9BUX1	reviewed	CHAC1_HUMAN	Glutathione-specific gamma-glutamylcyclotransferase 1 (Gamma-GCG 1) (EC 4.3.2.7) (Blocks Notch protein) (Botch) (Cation transport regulator-like protein 1)	CHAC1 BOTCH	Homo sapiens (Human)	222	3.10.490.10;	
Q9BUY5	reviewed	ZN426_HUMAN	Zinc finger protein 426	ZNF426	Homo sapiens (Human)	554	6.10.140.140;3.30.160.60;	
Q9BUZ4	reviewed	TRAF4_HUMAN	TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich domain associated with RING and Traf domains protein 1) (Metastatic lymph node gene 62 protein) (MLN 62) (RING finger protein 83)	TRAF4 CART1 MLN62 RNF83	Homo sapiens (Human)	470	3.30.40.10;	2EOD;2YUC;3ZJB;4K8U;4M4E;5YC1;
Q9BV20	reviewed	MTNA_HUMAN	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (Mediator of RhoA-dependent invasion) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	MRI1 MRDI UNQ6390/PRO21135	Homo sapiens (Human)	369	1.20.120.420;	4LDQ;4LDR;
Q9BV23	reviewed	ABHD6_HUMAN	Monoacylglycerol lipase ABHD6 (EC 3.1.1.23) (2-arachidonoylglycerol hydrolase) (Abhydrolase domain-containing protein 6)	ABHD6	Homo sapiens (Human)	337	3.40.50.1820;	7OTS;
Q9BV35	reviewed	SCMC3_HUMAN	Mitochondrial adenyl nucleotide antiporter SLC25A23 (Mitochondrial ATP-Mg/Pi carrier protein 2) (Short calcium-binding mitochondrial carrier protein 3) (SCaMC-3) (Solute carrier family 25 member 23)	SLC25A23 APC2 MCSC2 SCAMC3	Homo sapiens (Human)	468	1.10.238.10;1.50.40.10;	
Q9BV36	reviewed	MELPH_HUMAN	Melanophilin (Exophilin-3) (Slp homolog lacking C2 domains a) (SlaC2-a) (Synaptotagmin-like protein 2a)	MLPH SLAC2A	Homo sapiens (Human)	600	3.30.40.10;	
Q9BV38	reviewed	WDR18_HUMAN	WD repeat-containing protein 18	WDR18	Homo sapiens (Human)	432	2.130.10.10;	7UWF;8FL2;8FL3;8FL4;
Q9BV40	reviewed	VAMP8_HUMAN	Vesicle-associated membrane protein 8 (VAMP-8) (Endobrevin) (EDB)	VAMP8	Homo sapiens (Human)	100	1.20.5.110;	4WY4;7BV6;
Q9BV44	reviewed	THUM3_HUMAN	tRNA (guanine(6)-N2)-methyltransferase THUMP3 (EC 2.1.1.256) (THUMP domain-containing protein 3)	THUMPD3	Homo sapiens (Human)	507	3.30.2130.30;3.40.50.150;	
Q9BV47	reviewed	DUS26_HUMAN	Dual specificity protein phosphatase 26 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase SKRP3) (Low-molecular-mass dual-specificity phosphatase 4) (DSP-4) (LDP-4) (Mitogen-activated protein kinase phosphatase 8) (MAP kinase phosphatase 8) (MKP-8) (Novel amplified gene in thyroid anaplastic cancer)	DUSP26 DUSP24 LDP4 MKP8 NATA1 SKRP3	Homo sapiens (Human)	211	3.90.190.10;	2E0T;4B04;4HRF;5GTJ;
Q9BV57	reviewed	MTND_HUMAN	Acireductone dioxygenase (Acireductone dioxygenase (Fe(2+)-requiring)) (ARD') (Fe-ARD) (EC 1.13.11.54) (Acireductone dioxygenase (Ni(2+)-requiring)) (ARD) (Ni-ARD) (EC 1.13.11.53) (Membrane-type 1 matrix metalloproteinase cytoplasmic tail-binding protein 1) (MTCBP-1) (Submergence-induced protein-like factor) (Sip-L)	ADI1 MTCBP1 HMFT1638	Homo sapiens (Human)	179	2.60.120.10;	4QGN;7JXG;
Q9BV68	reviewed	RN126_HUMAN	E3 ubiquitin-protein ligase RNF126 (EC 2.3.2.27) (RING finger protein 126)	RNF126	Homo sapiens (Human)	311	3.30.40.10;	2N9O;2N9P;
Q9BV79	reviewed	MECR_HUMAN	Enoyl-[acyl-carrier-protein] reductase, mitochondrial (EC 1.3.1.104) (2-enoyl thioester reductase) (Nuclear receptor-binding factor 1) (HsNrbf-1) (NRBF-1)	MECR NBRF1 CGI-63	Homo sapiens (Human)	373	3.90.180.10;3.40.50.720;	1ZSY;2VCY;7AYB;7AYC;
